Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,03-07-2018,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring),Royal Society of Chemistry,,rsc.org,10.1039/2050-7895/2013,,2050-7887,2050-7895,,Unique_Item_Requests,1,0,0,0,0,1
Environmental Science: Nano,Royal Society of Chemistry,,rsc.org,10.1039/2051-8161/2014,,2051-8153,2051-8161,,Total_Item_Requests,2,0,0,0,1,1
Environmental Science: Nano,Royal Society of Chemistry,,rsc.org,10.1039/2051-8161/2014,,2051-8153,2051-8161,,Unique_Item_Requests,2,0,0,0,1,1
"Journal of the Chemical Society, Faraday Transactions 1",Royal Society of Chemistry,,rsc.org,,,,0300-9599,,Total_Item_Requests,7,0,0,0,6,1
"Journal of the Chemical Society, Faraday Transactions 1",Royal Society of Chemistry,,rsc.org,,,,0300-9599,,Unique_Item_Requests,7,0,0,0,6,1
Faraday Discussions,Royal Society of Chemistry,,rsc.org,10.1039/1364-5498/1991,,1359-6640,1364-5498,,Total_Item_Requests,13,0,0,0,7,6
Faraday Discussions,Royal Society of Chemistry,,rsc.org,10.1039/1364-5498/1991,,1359-6640,1364-5498,,Unique_Item_Requests,11,0,0,0,5,6
"Journal of the Chemical Society, Faraday Transactions",Royal Society of Chemistry,,rsc.org,,,1364-5455,0956-5000,,Total_Item_Requests,14,0,0,0,10,4
"Journal of the Chemical Society, Faraday Transactions",Royal Society of Chemistry,,rsc.org,,,1364-5455,0956-5000,,Unique_Item_Requests,11,0,0,0,8,3
Green Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1463-9270/1999,,1463-9262,1463-9270,,Total_Item_Requests,53,0,0,0,26,27
Green Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1463-9270/1999,,1463-9262,1463-9270,,Unique_Item_Requests,48,0,0,0,24,24
Annual Reports Section A (Inorganic Chemistry),Royal Society of Chemistry,,rsc.org,10.1039/1460-4760/1979,,0260-1818,1460-4760,,Total_Item_Requests,2,0,0,0,1,1
Annual Reports Section A (Inorganic Chemistry),Royal Society of Chemistry,,rsc.org,10.1039/1460-4760/1979,,0260-1818,1460-4760,,Unique_Item_Requests,2,0,0,0,1,1
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",Royal Society of Chemistry,,rsc.org,,,,0022-4944,,Total_Item_Requests,5,0,0,0,2,3
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",Royal Society of Chemistry,,rsc.org,,,,0022-4944,,Unique_Item_Requests,5,0,0,0,2,3
Journal of the Chemical Society C: Organic,Royal Society of Chemistry,,rsc.org,,,,0022-4952,,Total_Item_Requests,2,0,0,0,1,1
Journal of the Chemical Society C: Organic,Royal Society of Chemistry,,rsc.org,,,,0022-4952,,Unique_Item_Requests,2,0,0,0,1,1
Journal of Analytical Atomic Spectrometry,Royal Society of Chemistry,,rsc.org,10.1039/1364-5544/1986,,0267-9477,1364-5544,,Total_Item_Requests,7,0,0,0,2,5
Journal of Analytical Atomic Spectrometry,Royal Society of Chemistry,,rsc.org,10.1039/1364-5544/1986,,0267-9477,1364-5544,,Unique_Item_Requests,7,0,0,0,2,5
Journal of Materials Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1364-5501/1991,,0959-9428,1364-5501,,Total_Item_Requests,22,0,0,0,12,10
Journal of Materials Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1364-5501/1991,,0959-9428,1364-5501,,Unique_Item_Requests,21,0,0,0,12,9
Journal of the Chemical Society (Resumed),Royal Society of Chemistry,,rsc.org,,,,0368-1769,,Total_Item_Requests,18,0,0,0,8,10
Journal of the Chemical Society (Resumed),Royal Society of Chemistry,,rsc.org,,,,0368-1769,,Unique_Item_Requests,16,0,0,0,7,9
Journal of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0368-1769,,Total_Item_Requests,1,0,0,0,0,1
Journal of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0368-1769,,Unique_Item_Requests,1,0,0,0,0,1
Lab on a Chip,Royal Society of Chemistry,,rsc.org,10.1039/1473-0189/2001,,1473-0197,1473-0189,,Total_Item_Requests,11,0,0,0,10,1
Lab on a Chip,Royal Society of Chemistry,,rsc.org,10.1039/1473-0189/2001,,1473-0197,1473-0189,,Unique_Item_Requests,3,0,0,0,2,1
Molecular Systems Design & Engineering,Royal Society of Chemistry,,rsc.org,10.1039/2058-9689/2016,,,2058-9689,,Total_Item_Requests,4,0,0,0,2,2
Molecular Systems Design & Engineering,Royal Society of Chemistry,,rsc.org,10.1039/2058-9689/2016,,,2058-9689,,Unique_Item_Requests,4,0,0,0,2,2
Materials Horizons,Royal Society of Chemistry,,rsc.org,10.1039/2051-6355/2013,,2051-6347,2051-6355,,Total_Item_Requests,3,0,0,0,1,2
Materials Horizons,Royal Society of Chemistry,,rsc.org,10.1039/2051-6355/2013,,2051-6347,2051-6355,,Unique_Item_Requests,3,0,0,0,1,2
Molecular Omics,Royal Society of Chemistry,,rsc.org,10.1039/2515-4184/2018,,,2515-4184,,Total_Item_Requests,0,0,0,0,0,0
Molecular Omics,Royal Society of Chemistry,,rsc.org,10.1039/2515-4184/2018,,,2515-4184,,Unique_Item_Requests,0,0,0,0,0,0
Metallomics,Royal Society of Chemistry,,rsc.org,10.1039/1756-591X/2009,,1756-5901,1756-591X,,Total_Item_Requests,2,0,0,0,1,1
Metallomics,Royal Society of Chemistry,,rsc.org,10.1039/1756-591X/2009,,1756-5901,1756-591X,,Unique_Item_Requests,2,0,0,0,1,1
Nanoscale Horizons,Royal Society of Chemistry,,rsc.org,10.1039/2055-6764/2016,,2055-6756,2055-6764,,Total_Item_Requests,1,0,0,0,1,0
Nanoscale Horizons,Royal Society of Chemistry,,rsc.org,10.1039/2055-6764/2016,,2055-6756,2055-6764,,Unique_Item_Requests,1,0,0,0,1,0
New Journal of Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1369-9261/1998,,1144-0546,1369-9261,,Total_Item_Requests,18,0,0,0,9,9
New Journal of Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1369-9261/1998,,1144-0546,1369-9261,,Unique_Item_Requests,16,0,0,0,8,8
Natural Product Reports,Royal Society of Chemistry,,rsc.org,10.1039/1460-4752/1984,,0265-0568,1460-4752,,Total_Item_Requests,4,0,0,0,2,2
Natural Product Reports,Royal Society of Chemistry,,rsc.org,10.1039/1460-4752/1984,,0265-0568,1460-4752,,Unique_Item_Requests,3,0,0,0,2,1
Nanoscale,Royal Society of Chemistry,,rsc.org,10.1039/2040-3372/2009,,2040-3364,2040-3372,,Total_Item_Requests,27,0,0,0,21,6
Nanoscale,Royal Society of Chemistry,,rsc.org,10.1039/2040-3372/2009,,2040-3364,2040-3372,,Unique_Item_Requests,24,0,0,0,18,6
Organic & Biomolecular Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1477-0539/2003,,1477-0520,1477-0539,,Total_Item_Requests,21,0,0,0,11,10
Organic & Biomolecular Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1477-0539/2003,,1477-0520,1477-0539,,Unique_Item_Requests,19,0,0,0,10,9
"Journal of the Chemical Society, Perkin Transactions 1",Royal Society of Chemistry,,rsc.org,,,1364-5463,1472-7781,,Total_Item_Requests,12,0,0,0,4,8
"Journal of the Chemical Society, Perkin Transactions 1",Royal Society of Chemistry,,rsc.org,,,1364-5463,1472-7781,,Unique_Item_Requests,9,0,0,0,3,6
"Journal of the Chemical Society, Perkin Transactions 2",Royal Society of Chemistry,,rsc.org,,,1364-5471,1472-779X,,Total_Item_Requests,13,0,0,0,6,7
"Journal of the Chemical Society, Perkin Transactions 2",Royal Society of Chemistry,,rsc.org,,,1364-5471,1472-779X,,Unique_Item_Requests,12,0,0,0,6,6
Photochemical & Photobiological Sciences,Royal Society of Chemistry,,rsc.org,10.1039/1474-9092/2002,,1474-905X,1474-9092,,Total_Item_Requests,1,0,0,0,1,0
Photochemical & Photobiological Sciences,Royal Society of Chemistry,,rsc.org,10.1039/1474-9092/2002,,1474-905X,1474-9092,,Unique_Item_Requests,1,0,0,0,1,0
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry",Royal Society of Chemistry,,rsc.org,,,,0308-6003,,Total_Item_Requests,1,0,0,0,1,0
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry",Royal Society of Chemistry,,rsc.org,,,,0308-6003,,Unique_Item_Requests,1,0,0,0,1,0
Proceedings of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0369-8718,,Total_Item_Requests,2,0,0,0,2,0
Proceedings of the Chemical Society,Royal Society of Chemistry,,rsc.org,,,,0369-8718,,Unique_Item_Requests,1,0,0,0,1,0
Polymer Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1759-9962/2010,,1759-9954,1759-9962,,Total_Item_Requests,2,0,0,0,1,1
Polymer Chemistry,Royal Society of Chemistry,,rsc.org,10.1039/1759-9962/2010,,1759-9954,1759-9962,,Unique_Item_Requests,2,0,0,0,1,1
Inorganic Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-1553/2014,,,2052-1553,,Total_Item_Requests,3,0,0,0,3,0
Inorganic Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-1553/2014,,,2052-1553,,Unique_Item_Requests,3,0,0,0,3,0
Materials Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-1537/2016,,,2052-1537,,Total_Item_Requests,1,0,0,0,1,0
Materials Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-1537/2016,,,2052-1537,,Unique_Item_Requests,1,0,0,0,1,0
Organic Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-4129/2014,,,2052-4129,,Total_Item_Requests,3,0,0,0,1,2
Organic Chemistry Frontiers,Royal Society of Chemistry,,rsc.org,10.1039/2052-4129/2014,,,2052-4129,,Unique_Item_Requests,2,0,0,0,1,1
RSC Advances,Royal Society of Chemistry,,rsc.org,10.1039/2046-2069/2011,,,2046-2069,,Total_Item_Requests,88,0,0,0,34,54
