"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Energy & Environmental Science","Royal Society of Chemistry","","rsc.org","10.1039/1754-5706/2008","","1754-5692","1754-5706","","Controlled","Total_Item_Investigations","58","0","0","0","32","26"
"Energy & Environmental Science","Royal Society of Chemistry","","rsc.org","10.1039/1754-5706/2008","","1754-5692","1754-5706","","Controlled","Total_Item_Requests","50","0","0","0","27","23"
"Energy & Environmental Science","Royal Society of Chemistry","","rsc.org","10.1039/1754-5706/2008","","1754-5692","1754-5706","","Controlled","Unique_Item_Investigations","57","0","0","0","31","26"
"Energy & Environmental Science","Royal Society of Chemistry","","rsc.org","10.1039/1754-5706/2008","","1754-5692","1754-5706","","Controlled","Unique_Item_Requests","49","0","0","0","26","23"
"Environmental Science: Nano","Royal Society of Chemistry","","rsc.org","10.1039/2051-8161/2014","","2051-8153","2051-8161","","Controlled","Total_Item_Investigations","5","0","0","0","1","4"
"Environmental Science: Nano","Royal Society of Chemistry","","rsc.org","10.1039/2051-8161/2014","","2051-8153","2051-8161","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Environmental Science: Nano","Royal Society of Chemistry","","rsc.org","10.1039/2051-8161/2014","","2051-8153","2051-8161","","Controlled","Unique_Item_Investigations","3","0","0","0","1","2"
"Environmental Science: Nano","Royal Society of Chemistry","","rsc.org","10.1039/2051-8161/2014","","2051-8153","2051-8161","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)","Royal Society of Chemistry","","rsc.org","10.1039/2050-7895/2013","","2050-7887","2050-7895","","Controlled","Total_Item_Investigations","1","0","0","0","0","1"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)","Royal Society of Chemistry","","rsc.org","10.1039/2050-7895/2013","","2050-7887","2050-7895","","Controlled","Total_Item_Requests","1","0","0","0","0","1"
