"Report_Name","Journal Requests by YOP  (Excluding OA_Gold)"
"Report_ID","TR_J4"
"Release","5"
"Institution_Name","Ohio State Univ Libraries"
"Institution_ID","000100077"
"Metric_Types","Total_Item_Requests; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","YOP","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13936J","","0022-1198","1556-4029","","1996","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13936J","","0022-1198","1556-4029","","1996","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13944J","","0022-1198","1556-4029","","1996","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13944J","","0022-1198","1556-4029","","1996","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13957J","","0022-1198","1556-4029","","1996","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS13957J","","0022-1198","1556-4029","","1996","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14067J","","0022-1198","1556-4029","","1997","Total_Item_Requests","2","0","0","1","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14067J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","2","0","0","1","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14097J","","0022-1198","1556-4029","","1997","Total_Item_Requests","3","0","0","2","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14097J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","3","0","0","2","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14098J","","0022-1198","1556-4029","","1997","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14098J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14130J","","0022-1198","1556-4029","","1997","Total_Item_Requests","2","2","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14130J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","2","2","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14135J","","0022-1198","1556-4029","","1997","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14135J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14192J","","0022-1198","1556-4029","","1997","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14192J","","0022-1198","1556-4029","","1997","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14422J","","0022-1198","1556-4029","","1999","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14422J","","0022-1198","1556-4029","","1999","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14462J","","0022-1198","1556-4029","","1999","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14462J","","0022-1198","1556-4029","","1999","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14477J","","0022-1198","1556-4029","","1999","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14477J","","0022-1198","1556-4029","","1999","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14784J","","0022-1198","1556-4029","","2000","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14784J","","0022-1198","1556-4029","","2000","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14794J","","0022-1198","1556-4029","","2000","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14794J","","0022-1198","1556-4029","","2000","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14829J","","0022-1198","1556-4029","","2000","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS14829J","","0022-1198","1556-4029","","2000","Unique_Item_Requests","1","0","0","0","0","1"
