"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Dalton Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1477-9234/2003"	""	"1477-9226"	"1477-9234"	""	"Total_Item_Requests"	"241"	"0"	"0"	"0"	"0"	"0"	"241"
"Dalton Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1477-9234/2003"	""	"1477-9226"	"1477-9234"	""	"Unique_Item_Requests"	"200"	"0"	"0"	"0"	"0"	"0"	"200"
"Energy & Environmental Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1754-5706/2008"	""	"1754-5692"	"1754-5706"	""	"Total_Item_Requests"	"1189"	"0"	"0"	"0"	"0"	"0"	"1189"
"Energy & Environmental Science"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1754-5706/2008"	""	"1754-5692"	"1754-5706"	""	"Unique_Item_Requests"	"888"	"0"	"0"	"0"	"0"	"0"	"888"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7895/2013"	""	"2050-7887"	"2050-7895"	""	"Total_Item_Requests"	"25"	"0"	"0"	"0"	"0"	"0"	"25"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2050-7895/2013"	""	"2050-7887"	"2050-7895"	""	"Unique_Item_Requests"	"19"	"0"	"0"	"0"	"0"	"0"	"19"
"Environmental Science: Nano"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2051-8161/2014"	""	"2051-8153"	"2051-8161"	""	"Total_Item_Requests"	"16"	"0"	"0"	"0"	"0"	"0"	"16"
"Environmental Science: Nano"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2051-8161/2014"	""	"2051-8153"	"2051-8161"	""	"Unique_Item_Requests"	"15"	"0"	"0"	"0"	"0"	"0"	"15"
"Environmental Science: Water Research & Technology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2053-1419/2015"	""	"2053-1400"	"2053-1419"	""	"Total_Item_Requests"	"30"	"0"	"0"	"0"	"0"	"0"	"30"
"Environmental Science: Water Research & Technology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2053-1419/2015"	""	"2053-1400"	"2053-1419"	""	"Unique_Item_Requests"	"28"	"0"	"0"	"0"	"0"	"0"	"28"
