"Report_Name"	"Book Usage by Access Type"
"Report_ID"	"TR_B3"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_investigations; Unique_Title_Requests"
"Report_Filters"	"Data_Type=Book; Access_Method=Regular"
"Report_Attributes"	"Attributes_To_Show=Access_Type"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Access_Type"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Controlled"	"Unique_Title_Investigations"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Mechanochemistry in Materials"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782623885"	""	"978-1-78262-388-5"	"978-1-78262-146-1"	"2044-0804"	""	"Controlled"	"Unique_Title_Requests"	"4"	"0"	"0"	"0"	"0"	"0"	"4"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Theranostics and Image Guided Drug Delivery"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010597"	""	"978-1-78801-059-7"	"978-1-78262-466-0"	"2041-3211"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Lignin Valorization: Emerging Approaches"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010351"	""	"978-1-78801-035-1"	"978-1-78262-554-4"	"2044-0782"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Total_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Unique_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Unique_Title_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Modern Biocatalysis: Advances Towards Synthetic Biological Systems"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010450"	""	"978-1-78801-045-0"	"978-1-78262-726-5"	"1757-6733"	""	"Controlled"	"Unique_Title_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Total_Item_Investigations"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Total_Item_Requests"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Unique_Item_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Unique_Title_Investigations"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Handbook of Surface Plasmon Resonance"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010283"	""	"978-1-78801-028-3"	"978-1-78262-730-2"	""	""	"Controlled"	"Unique_Title_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Total_Item_Investigations"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Total_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Chemical Modelling 14"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788010719"	""	"978-1-78801-071-9"	"978-1-78801-004-7"	"1472-0973"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
